class_folder,original_filename,new_filename
לא תקין יום,WhatsApp Image 2026-09-09 at 11.27.34 (1).jpeg,img_555e80e0.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.27.35 (1).jpeg,img_33509e00.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.27.35 (2).jpeg,img_3bbb85bf.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.27.36 (1).jpeg,img_daf6a817.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.27.36.jpeg,img_85fb2eb1.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.43 (2).jpeg,img_77b05d72.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.43.jpeg,img_a2cad26c.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.44 (1).jpeg,img_bd611798.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.44 (2).jpeg,img_73b619c5.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.44.jpeg,img_4462d030.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.45 (1).jpeg,img_031fdd6d.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.51 (1).jpeg,img_7a24ecce.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.51 (2).jpeg,img_78a8a8cf.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.51 (3).jpeg,img_a316ff42.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.51.jpeg,img_2638f897.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.52 (1).jpeg,img_0c1fc21d.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.52.jpeg,img_6fbc5335.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.53 (2).jpeg,img_60aa3da4.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.53 (3).jpeg,img_33df4a0e.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.53 (4).jpeg,img_7d3cf863.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.53.jpeg,img_6cdec466.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.57 (1).jpeg,img_80bebcdf.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.57 (2).jpeg,img_79954938.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.57 (3).jpeg,img_7e172a93.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.57.jpeg,img_d337e84d.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.58 (2).jpeg,img_189a430c.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.58 (3).jpeg,img_aa3da068.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.29.58.jpeg,img_1433c88d.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.51 (3).jpeg,img_7f7705c4.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.52 (1).jpeg,img_7c44f256.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.52 (2).jpeg,img_2226ab17.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.52 (3).jpeg,img_eb96e411.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.52.jpeg,img_a73320f8.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.53 (1).jpeg,img_a23d2694.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.53 (2).jpeg,img_950d7c64.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.53 (3).jpeg,img_14828faf.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.53 (4).jpeg,img_b33c06e7.jpeg
לא תקין יום,WhatsApp Image 2026-09-09 at 11.31.53.jpeg,img_7d15feae.jpeg
לא תקין יום,WhatsApp Image 2026-09-22 at 12.42.57 (1).jpeg,img_4b369d3d.jpeg
לא תקין יום,WhatsApp Image 2026-09-22 at 12.42.58 (1).jpeg,img_f085a517.jpeg
לא תקין יום,WhatsApp Image 2026-09-22 at 12.42.58.jpeg,img_8fd6892f.jpeg
לא תקין יום,WhatsApp Image 2026-09-22 at 12.42.59 (2).jpeg,img_7b7f756e.jpeg
לא תקין לילה,WhatsApp Image 2026-09-09 at 11.29.47 (1).jpeg,img_80800772.jpeg
לא תקין לילה,WhatsApp Image 2026-09-09 at 11.29.48 (1).jpeg,img_82bde360.jpeg
לא תקין לילה,WhatsApp Image 2026-09-09 at 11.29.49.jpeg,img_f5a8cf4f.jpeg
לא תקין לילה,WhatsApp Image 2026-09-09 at 11.29.56 (2).jpeg,img_13d5c871.jpeg
לא תקין לילה,WhatsApp Image 2026-09-09 at 11.31.50.jpeg,img_d1184c9a.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.42.54.jpeg,img_b1de1859.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.42.55 (1).jpeg,img_cf25ef18.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.42.55 (2).jpeg,img_95b97ea1.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.42.55 (3).jpeg,img_5444afe7.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.42.55.jpeg,img_211633bb.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.42.56 (1).jpeg,img_91a6ed7d.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.42.56 (2).jpeg,img_f47b3e7f.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.42.56.jpeg,img_3d3412da.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.42.57.jpeg,img_710d0f12.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.05 (1).jpeg,img_51df9603.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.05 (2).jpeg,img_aca15f12.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.05 (3).jpeg,img_880c97d2.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.05.jpeg,img_21e720a1.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.08 (1).jpeg,img_fedef011.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.08 (2).jpeg,img_7b054313.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.08 (3).jpeg,img_e2e2906f.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.09 (1).jpeg,img_6cbfebd4.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.09 (2).jpeg,img_4369e2fa.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.09 (3).jpeg,img_f9eb45ed.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.09.jpeg,img_86382b84.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.10 (1).jpeg,img_8f93917e.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.10.jpeg,img_94ac88d0.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.11 (1).jpeg,img_15cc9e25.jpeg
